,type,name,nhab,services,rating,price_night,district_id,airbnb_id
0,Habitacion privada,"Habitacion centro Barcelona, Ciutat Vella room.",2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.6,24,1,109
1,Habitacion privada,"Room in the city center (Gothic,Rambla,Catedral)",1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.48,25,1,209
2,Alojamiento entero: piso,Outstanding aparment &Amazing location :),2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Aire acondicionado,4.77,85,1,183
3,Habitacion de hostal,Habitacion Individual con bano compartido,"1 huesped * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Aire acondicionado,4.73,44,1,120
4,Habitacion privada,Mundi,"1 huesped * 1 dormitorio * 1 cama * 1,5 banos compartidos",Wifi * Cocina * Lavadora,4.56,32,1,173
5,Habitacion privada,Private Room with Private Bathroom in BCN Center,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Cocina,4.87,65,1,200
6,Habitacion privada,Super Room (A),2 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi * Cocina,4.56,42,1,237
7,Habitacion de hostal,"Hostal Nitzs BCN, Double Room w/ Shared Bathroom",2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.33,49,1,147
8,Habitacion privada,Quietpen PReial. Kit,"2 huespedes * 1 dormitorio * 1 cama * 1,5 banos",Wifi * Cocina * Lavadora * Aire acondicionado,4.61,59,1,203
9,Habitacion privada,Barcelona's Heart,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.49,42,1,30
10,Habitacion privada,Lovely and Cozy Bedroom Barcelona City Center,1 huesped * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina,4.76,43,1,161
11,Habitacion privada,Charming Place hidden in the center of Barcelona,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Aire acondicionado,4.93,66,1,54
12,Habitacion privada,Single Room in the heart of Barcelona,1 huesped * 1 dormitorio * 1 bano compartido,Wifi * Cocina * Lavadora,5.0,57,1,226
13,Habitacion privada,Double room in Ramblas,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi,4.38,44,1,88
14,Habitacion privada,Room with private bathroom 5' to Las Ramblas,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Cocina * Lavadora,4.09,43,1,215
15,Habitacion privada,A cosy room 2mns to Picasso museum,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora * Aire acondicionado,4.9,49,1,13
16,Habitacion privada,(1double room! Historic cente) IN RAMBLAS,2 huespedes * 1 dormitorio * 2 camas * 1 bano compartido,Wifi * Cocina * Lavadora * Aire acondicionado,4.55,53,1,1
