,neighbourhood_id,population_id,population,spaniards,strangers
0,43,337,48263.0,22731.9,25531.1
1,46,340,15112.0,8991.6,6120.4
2,48,343,44325.0,33066.4,11258.6
3,45,339,43228.0,32161.6,11066.4
4,55,350,58621.0,46252.0,12369.0
5,16,306,38906.0,29179.5,9726.5
6,52,347,31352.0,25802.7,5549.3
7,50,345,10377.0,8114.8,2262.2
8,8,299,16203.0,12006.4,4196.6
9,47,341,19567.0,16475.4,3091.6
10,23,313,24938.0,19726.0,5212.0
11,22,312,43763.0,33434.9,10328.1
12,53,348,1227.0,1060.1,166.9
13,66,362,46731.0,40282.1,6448.9
14,54,349,23968.0,20684.4,3283.6
15,11,302,11936.0,9704.0,2232.0
16,68,364,16617.0,14855.6,1761.4
17,19,309,26245.0,22649.4,3595.6
18,18,308,47915.0,41159.0,6756.0
19,25,317,16147.0,13498.9,2648.1
20,36,329,7617.0,6238.3,1378.7
21,58,354,13478.0,11308.0,2170.0
22,49,344,9544.0,8723.2,820.8
23,34,327,32512.0,26464.8,6047.2
24,59,355,11927.0,9780.1,2146.9
25,9,300,5225.0,4420.3,804.6
26,62,358,5886.0,5273.9,612.1
27,7,298,28363.0,23739.8,4623.2
28,28,320,26083.0,21909.7,4173.3
29,12,303,27813.0,21137.9,6675.1
30,51,346,15420.0,13770.1,1649.9
31,2,295,6869.0,6408.8,460.2
32,67,363,16417.0,12362.0,4055.0
33,27,319,12798.0,9828.9,2969.1
34,56,351,27003.0,22250.5,4752.5
35,60,356,7669.0,5790.1,1878.9
36,3,296,11091.0,7453.2,3637.8
37,61,357,10487.0,7110.2,3376.8
38,31,324,13652.0,10798.7,2853.3
39,15,305,58508.0,52832.7,5675.3
40,57,353,29521.0,24945.2,4575.8
41,10,301,22457.0,18616.9,3840.1
42,33,326,39262.0,31134.8,8127.2
43,35,328,27069.0,22386.1,4682.9
44,39,333,15947.0,12103.8,3843.2
45,41,335,34432.0,27166.8,7265.2
46,63,359,28878.0,24632.9,4245.1
